expCountry,concept,color,weight,se,hex,barStroke,con,concep
mdg,angry,A1,0.357,0.05,#656168,#656168,angry,angry
mdg,angry,A2,0.346,0.048,#9d97a0,#9d97a0,angry,angry
mdg,angry,A3,0.261,0.043,#d8cfdb,#d8cfdb,angry,angry
mdg,angry,BK,0.553,0.055,#323033,#323033,angry,angry
mdg,angry,DB,0.21,0.037,#386089,#386089,angry,angry
mdg,angry,DC,0.243,0.041,#297375,#297375,angry,angry
mdg,angry,DG,0.262,0.041,#21704f,#21704f,angry,angry
mdg,angry,DH,0.269,0.046,#677f35,#677f35,angry,angry
mdg,angry,DO,0.37,0.05,#864d2b,#864d2b,angry,angry
mdg,angry,DP,0.269,0.045,#723484,#723484,angry,angry
mdg,angry,DR,0.637,0.049,#8a2b38,#8a2b38,angry,angry
mdg,angry,DY,0.3,0.048,#8a7527,#8a7527,angry,angry
mdg,angry,LB,0.192,0.036,#aacffb,#aacffb,angry,angry
mdg,angry,LC,0.249,0.042,#9de5e4,#9de5e4,angry,angry
mdg,angry,LG,0.216,0.042,#95e2b8,#95e2b8,angry,angry
mdg,angry,LH,0.245,0.043,#dbf099,#dbf099,angry,angry
mdg,angry,LO,0.247,0.043,#fbc9a3,#fbc9a3,angry,angry
mdg,angry,LP,0.286,0.044,#dfa7fa,#dfa7fa,angry,angry
mdg,angry,LR,0.291,0.047,#fc9fa3,#fc9fa3,angry,angry
mdg,angry,LY,0.177,0.038,#fff498,#fff498,angry,angry
mdg,angry,MB,0.236,0.038,#7196c0,#7196c0,angry,angry
mdg,angry,MC,0.234,0.037,#65acac,#65acac,angry,angry
mdg,angry,MG,0.225,0.038,#62ae88,#62ae88,angry,angry
mdg,angry,MH,0.27,0.039,#a0b668,#a0b668,angry,angry
mdg,angry,MO,0.231,0.037,#ce916c,#ce916c,angry,angry
mdg,angry,MP,0.182,0.032,#a66fbd,#a66fbd,angry,angry
mdg,angry,MR,0.364,0.05,#c5666b,#c5666b,angry,angry
mdg,angry,MY,0.208,0.04,#dab572,#dab572,angry,angry
mdg,angry,SB,0.178,0.036,#4fa7ef,#4fa7ef,angry,angry
mdg,angry,SC,0.222,0.043,#27d1cd,#27d1cd,angry,angry
mdg,angry,SG,0.186,0.037,#04c981,#04c981,angry,angry
mdg,angry,SH,0.247,0.046,#bde638,#bde638,angry,angry
mdg,angry,SO,0.309,0.048,#f89e2d,#f89e2d,angry,angry
mdg,angry,SP,0.252,0.045,#b740da,#b740da,angry,angry
mdg,angry,SR,0.621,0.056,#f03a52,#f03a52,angry,angry
mdg,angry,SY,0.31,0.052,#fff329,#fff329,angry,angry
mdg,angry,WH,0.18,0.034,#ffffff,#000000,angry,angry
mdg,banana,A1,0.134,0.029,#656168,#656168,banana,banana
mdg,banana,A2,0.179,0.036,#9d97a0,#9d97a0,banana,banana
mdg,banana,A3,0.187,0.041,#d8cfdb,#d8cfdb,banana,banana
mdg,banana,BK,0.148,0.036,#323033,#323033,banana,banana
mdg,banana,DB,0.102,0.024,#386089,#386089,banana,banana
mdg,banana,DC,0.121,0.029,#297375,#297375,banana,banana
mdg,banana,DG,0.486,0.055,#21704f,#21704f,banana,banana
mdg,banana,DH,0.415,0.052,#677f35,#677f35,banana,banana
mdg,banana,DO,0.157,0.03,#864d2b,#864d2b,banana,banana
mdg,banana,DP,0.156,0.03,#723484,#723484,banana,banana
mdg,banana,DR,0.131,0.03,#8a2b38,#8a2b38,banana,banana
mdg,banana,DY,0.351,0.051,#8a7527,#8a7527,banana,banana
mdg,banana,LB,0.128,0.031,#aacffb,#aacffb,banana,banana
mdg,banana,LC,0.157,0.035,#9de5e4,#9de5e4,banana,banana
mdg,banana,LG,0.32,0.045,#95e2b8,#95e2b8,banana,banana
mdg,banana,LH,0.471,0.051,#dbf099,#dbf099,banana,banana
mdg,banana,LO,0.214,0.037,#fbc9a3,#fbc9a3,banana,banana
mdg,banana,LP,0.162,0.035,#dfa7fa,#dfa7fa,banana,banana
mdg,banana,LR,0.17,0.035,#fc9fa3,#fc9fa3,banana,banana
mdg,banana,LY,0.514,0.056,#fff498,#fff498,banana,banana
mdg,banana,MB,0.088,0.023,#7196c0,#7196c0,banana,banana
mdg,banana,MC,0.177,0.036,#65acac,#65acac,banana,banana
mdg,banana,MG,0.485,0.051,#62ae88,#62ae88,banana,banana
mdg,banana,MH,0.494,0.048,#a0b668,#a0b668,banana,banana
mdg,banana,MO,0.231,0.038,#ce916c,#ce916c,banana,banana
mdg,banana,MP,0.14,0.028,#a66fbd,#a66fbd,banana,banana
mdg,banana,MR,0.165,0.031,#c5666b,#c5666b,banana,banana
mdg,banana,MY,0.471,0.051,#dab572,#dab572,banana,banana
mdg,banana,SB,0.1,0.024,#4fa7ef,#4fa7ef,banana,banana
mdg,banana,SC,0.144,0.031,#27d1cd,#27d1cd,banana,banana
mdg,banana,SG,0.532,0.054,#04c981,#04c981,banana,banana
mdg,banana,SH,0.636,0.056,#bde638,#bde638,banana,banana
mdg,banana,SO,0.424,0.053,#f89e2d,#f89e2d,banana,banana
mdg,banana,SP,0.149,0.029,#b740da,#b740da,banana,banana
mdg,banana,SR,0.162,0.04,#f03a52,#f03a52,banana,banana
mdg,banana,SY,0.781,0.047,#fff329,#fff329,banana,banana
mdg,banana,WH,0.214,0.042,#ffffff,#000000,banana,banana
mdg,death,A1,0.728,0.047,#656168,#656168,death,death
mdg,death,A2,0.596,0.049,#9d97a0,#9d97a0,death,death
mdg,death,A3,0.424,0.056,#d8cfdb,#d8cfdb,death,death
mdg,death,BK,0.866,0.036,#323033,#323033,death,death
mdg,death,DB,0.157,0.037,#386089,#386089,death,death
mdg,death,DC,0.153,0.03,#297375,#297375,death,death
mdg,death,DG,0.197,0.037,#21704f,#21704f,death,death
mdg,death,DH,0.204,0.041,#677f35,#677f35,death,death
mdg,death,DO,0.251,0.042,#864d2b,#864d2b,death,death
mdg,death,DP,0.551,0.058,#723484,#723484,death,death
mdg,death,DR,0.3,0.048,#8a2b38,#8a2b38,death,death
mdg,death,DY,0.231,0.041,#8a7527,#8a7527,death,death
mdg,death,LB,0.185,0.032,#aacffb,#aacffb,death,death
mdg,death,LC,0.162,0.029,#9de5e4,#9de5e4,death,death
mdg,death,LG,0.175,0.033,#95e2b8,#95e2b8,death,death
mdg,death,LH,0.234,0.042,#dbf099,#dbf099,death,death
mdg,death,LO,0.181,0.03,#fbc9a3,#fbc9a3,death,death
mdg,death,LP,0.311,0.047,#dfa7fa,#dfa7fa,death,death
mdg,death,LR,0.15,0.03,#fc9fa3,#fc9fa3,death,death
mdg,death,LY,0.203,0.042,#fff498,#fff498,death,death
mdg,death,MB,0.173,0.03,#7196c0,#7196c0,death,death
mdg,death,MC,0.19,0.035,#65acac,#65acac,death,death
mdg,death,MG,0.146,0.029,#62ae88,#62ae88,death,death
mdg,death,MH,0.253,0.041,#a0b668,#a0b668,death,death
mdg,death,MO,0.158,0.029,#ce916c,#ce916c,death,death
mdg,death,MP,0.445,0.053,#a66fbd,#a66fbd,death,death
mdg,death,MR,0.181,0.032,#c5666b,#c5666b,death,death
mdg,death,MY,0.196,0.035,#dab572,#dab572,death,death
mdg,death,SB,0.169,0.036,#4fa7ef,#4fa7ef,death,death
mdg,death,SC,0.175,0.03,#27d1cd,#27d1cd,death,death
mdg,death,SG,0.108,0.023,#04c981,#04c981,death,death
mdg,death,SH,0.164,0.034,#bde638,#bde638,death,death
mdg,death,SO,0.153,0.032,#f89e2d,#f89e2d,death,death
mdg,death,SP,0.523,0.058,#b740da,#b740da,death,death
mdg,death,SR,0.278,0.048,#f03a52,#f03a52,death,death
mdg,death,SY,0.125,0.032,#fff329,#fff329,death,death
mdg,death,WH,0.502,0.06,#ffffff,#000000,death,death
mdg,happy,A1,0.199,0.036,#656168,#656168,happy,happy
mdg,happy,A2,0.241,0.042,#9d97a0,#9d97a0,happy,happy
mdg,happy,A3,0.555,0.054,#d8cfdb,#d8cfdb,happy,happy
mdg,happy,BK,0.166,0.033,#323033,#323033,happy,happy
mdg,happy,DB,0.447,0.051,#386089,#386089,happy,happy
mdg,happy,DC,0.299,0.043,#297375,#297375,happy,happy
mdg,happy,DG,0.418,0.05,#21704f,#21704f,happy,happy
mdg,happy,DH,0.268,0.04,#677f35,#677f35,happy,happy
mdg,happy,DO,0.228,0.036,#864d2b,#864d2b,happy,happy
mdg,happy,DP,0.25,0.045,#723484,#723484,happy,happy
mdg,happy,DR,0.3,0.045,#8a2b38,#8a2b38,happy,happy
mdg,happy,DY,0.306,0.045,#8a7527,#8a7527,happy,happy
mdg,happy,LB,0.46,0.046,#aacffb,#aacffb,happy,happy
mdg,happy,LC,0.418,0.048,#9de5e4,#9de5e4,happy,happy
mdg,happy,LG,0.406,0.046,#95e2b8,#95e2b8,happy,happy
mdg,happy,LH,0.499,0.047,#dbf099,#dbf099,happy,happy
mdg,happy,LO,0.427,0.051,#fbc9a3,#fbc9a3,happy,happy
mdg,happy,LP,0.404,0.045,#dfa7fa,#dfa7fa,happy,happy
mdg,happy,LR,0.445,0.051,#fc9fa3,#fc9fa3,happy,happy
mdg,happy,LY,0.521,0.049,#fff498,#fff498,happy,happy
mdg,happy,MB,0.38,0.049,#7196c0,#7196c0,happy,happy
mdg,happy,MC,0.316,0.045,#65acac,#65acac,happy,happy
mdg,happy,MG,0.34,0.049,#62ae88,#62ae88,happy,happy
mdg,happy,MH,0.284,0.045,#a0b668,#a0b668,happy,happy
mdg,happy,MO,0.32,0.042,#ce916c,#ce916c,happy,happy
mdg,happy,MP,0.264,0.045,#a66fbd,#a66fbd,happy,happy
mdg,happy,MR,0.364,0.047,#c5666b,#c5666b,happy,happy
mdg,happy,MY,0.343,0.044,#dab572,#dab572,happy,happy
mdg,happy,SB,0.538,0.053,#4fa7ef,#4fa7ef,happy,happy
mdg,happy,SC,0.501,0.051,#27d1cd,#27d1cd,happy,happy
mdg,happy,SG,0.484,0.056,#04c981,#04c981,happy,happy
mdg,happy,SH,0.523,0.05,#bde638,#bde638,happy,happy
mdg,happy,SO,0.542,0.051,#f89e2d,#f89e2d,happy,happy
mdg,happy,SP,0.308,0.05,#b740da,#b740da,happy,happy
mdg,happy,SR,0.549,0.059,#f03a52,#f03a52,happy,happy
mdg,happy,SY,0.593,0.056,#fff329,#fff329,happy,happy
mdg,happy,WH,0.701,0.048,#ffffff,#000000,happy,happy
mdg,justice,A1,0.246,0.042,#656168,#656168,justice,justice
mdg,justice,A2,0.392,0.05,#9d97a0,#9d97a0,justice,justice
mdg,justice,A3,0.69,0.047,#d8cfdb,#d8cfdb,justice,justice
mdg,justice,BK,0.309,0.052,#323033,#323033,justice,justice
mdg,justice,DB,0.315,0.048,#386089,#386089,justice,justice
mdg,justice,DC,0.209,0.038,#297375,#297375,justice,justice
mdg,justice,DG,0.232,0.04,#21704f,#21704f,justice,justice
mdg,justice,DH,0.207,0.038,#677f35,#677f35,justice,justice
mdg,justice,DO,0.186,0.035,#864d2b,#864d2b,justice,justice
mdg,justice,DP,0.271,0.047,#723484,#723484,justice,justice
mdg,justice,DR,0.379,0.054,#8a2b38,#8a2b38,justice,justice
mdg,justice,DY,0.147,0.031,#8a7527,#8a7527,justice,justice
mdg,justice,LB,0.39,0.051,#aacffb,#aacffb,justice,justice
mdg,justice,LC,0.409,0.049,#9de5e4,#9de5e4,justice,justice
mdg,justice,LG,0.293,0.045,#95e2b8,#95e2b8,justice,justice
mdg,justice,LH,0.367,0.054,#dbf099,#dbf099,justice,justice
mdg,justice,LO,0.309,0.046,#fbc9a3,#fbc9a3,justice,justice
mdg,justice,LP,0.352,0.049,#dfa7fa,#dfa7fa,justice,justice
mdg,justice,LR,0.3,0.047,#fc9fa3,#fc9fa3,justice,justice
mdg,justice,LY,0.41,0.051,#fff498,#fff498,justice,justice
mdg,justice,MB,0.31,0.047,#7196c0,#7196c0,justice,justice
mdg,justice,MC,0.269,0.044,#65acac,#65acac,justice,justice
mdg,justice,MG,0.29,0.043,#62ae88,#62ae88,justice,justice
mdg,justice,MH,0.247,0.04,#a0b668,#a0b668,justice,justice
mdg,justice,MO,0.204,0.036,#ce916c,#ce916c,justice,justice
mdg,justice,MP,0.224,0.04,#a66fbd,#a66fbd,justice,justice
mdg,justice,MR,0.324,0.047,#c5666b,#c5666b,justice,justice
mdg,justice,MY,0.271,0.045,#dab572,#dab572,justice,justice
mdg,justice,SB,0.333,0.05,#4fa7ef,#4fa7ef,justice,justice
mdg,justice,SC,0.325,0.049,#27d1cd,#27d1cd,justice,justice
mdg,justice,SG,0.28,0.047,#04c981,#04c981,justice,justice
mdg,justice,SH,0.337,0.049,#bde638,#bde638,justice,justice
mdg,justice,SO,0.249,0.042,#f89e2d,#f89e2d,justice,justice
mdg,justice,SP,0.29,0.049,#b740da,#b740da,justice,justice
mdg,justice,SR,0.409,0.055,#f03a52,#f03a52,justice,justice
mdg,justice,SY,0.301,0.048,#fff329,#fff329,justice,justice
mdg,justice,WH,0.701,0.053,#ffffff,#000000,justice,justice
mdg,lightning,A1,0.322,0.05,#656168,#656168,lightning,lightning
mdg,lightning,A2,0.408,0.051,#9d97a0,#9d97a0,lightning,lightning
mdg,lightning,A3,0.403,0.052,#d8cfdb,#d8cfdb,lightning,lightning
mdg,lightning,BK,0.369,0.054,#323033,#323033,lightning,lightning
mdg,lightning,DB,0.333,0.046,#386089,#386089,lightning,lightning
mdg,lightning,DC,0.268,0.042,#297375,#297375,lightning,lightning
mdg,lightning,DG,0.2,0.04,#21704f,#21704f,lightning,lightning
mdg,lightning,DH,0.215,0.037,#677f35,#677f35,lightning,lightning
mdg,lightning,DO,0.277,0.049,#864d2b,#864d2b,lightning,lightning
mdg,lightning,DP,0.375,0.051,#723484,#723484,lightning,lightning
mdg,lightning,DR,0.431,0.052,#8a2b38,#8a2b38,lightning,lightning
mdg,lightning,DY,0.286,0.047,#8a7527,#8a7527,lightning,lightning
mdg,lightning,LB,0.322,0.046,#aacffb,#aacffb,lightning,lightning
mdg,lightning,LC,0.348,0.047,#9de5e4,#9de5e4,lightning,lightning
mdg,lightning,LG,0.247,0.039,#95e2b8,#95e2b8,lightning,lightning
mdg,lightning,LH,0.31,0.044,#dbf099,#dbf099,lightning,lightning
mdg,lightning,LO,0.33,0.047,#fbc9a3,#fbc9a3,lightning,lightning
mdg,lightning,LP,0.299,0.043,#dfa7fa,#dfa7fa,lightning,lightning
mdg,lightning,LR,0.386,0.05,#fc9fa3,#fc9fa3,lightning,lightning
mdg,lightning,LY,0.387,0.048,#fff498,#fff498,lightning,lightning
mdg,lightning,MB,0.323,0.044,#7196c0,#7196c0,lightning,lightning
mdg,lightning,MC,0.305,0.043,#65acac,#65acac,lightning,lightning
mdg,lightning,MG,0.215,0.038,#62ae88,#62ae88,lightning,lightning
mdg,lightning,MH,0.256,0.042,#a0b668,#a0b668,lightning,lightning
mdg,lightning,MO,0.28,0.043,#ce916c,#ce916c,lightning,lightning
mdg,lightning,MP,0.352,0.049,#a66fbd,#a66fbd,lightning,lightning
mdg,lightning,MR,0.392,0.053,#c5666b,#c5666b,lightning,lightning
mdg,lightning,MY,0.311,0.045,#dab572,#dab572,lightning,lightning
mdg,lightning,SB,0.324,0.045,#4fa7ef,#4fa7ef,lightning,lightning
mdg,lightning,SC,0.25,0.039,#27d1cd,#27d1cd,lightning,lightning
mdg,lightning,SG,0.171,0.033,#04c981,#04c981,lightning,lightning
mdg,lightning,SH,0.295,0.047,#bde638,#bde638,lightning,lightning
mdg,lightning,SO,0.39,0.052,#f89e2d,#f89e2d,lightning,lightning
mdg,lightning,SP,0.333,0.047,#b740da,#b740da,lightning,lightning
mdg,lightning,SR,0.526,0.056,#f03a52,#f03a52,lightning,lightning
mdg,lightning,SY,0.313,0.046,#fff329,#fff329,lightning,lightning
mdg,lightning,WH,0.464,0.051,#ffffff,#000000,lightning,lightning
mdg,mango,A1,0.118,0.024,#656168,#656168,mango,mango
mdg,mango,A2,0.183,0.036,#9d97a0,#9d97a0,mango,mango
mdg,mango,A3,0.194,0.036,#d8cfdb,#d8cfdb,mango,mango
mdg,mango,BK,0.147,0.031,#323033,#323033,mango,mango
mdg,mango,DB,0.237,0.041,#386089,#386089,mango,mango
mdg,mango,DC,0.233,0.036,#297375,#297375,mango,mango
mdg,mango,DG,0.612,0.047,#21704f,#21704f,mango,mango
mdg,mango,DH,0.508,0.048,#677f35,#677f35,mango,mango
mdg,mango,DO,0.192,0.034,#864d2b,#864d2b,mango,mango
mdg,mango,DP,0.183,0.038,#723484,#723484,mango,mango
mdg,mango,DR,0.198,0.032,#8a2b38,#8a2b38,mango,mango
mdg,mango,DY,0.333,0.046,#8a7527,#8a7527,mango,mango
mdg,mango,LB,0.224,0.037,#aacffb,#aacffb,mango,mango
mdg,mango,LC,0.239,0.036,#9de5e4,#9de5e4,mango,mango
mdg,mango,LG,0.422,0.048,#95e2b8,#95e2b8,mango,mango
mdg,mango,LH,0.347,0.044,#dbf099,#dbf099,mango,mango
mdg,mango,LO,0.295,0.041,#fbc9a3,#fbc9a3,mango,mango
mdg,mango,LP,0.161,0.029,#dfa7fa,#dfa7fa,mango,mango
mdg,mango,LR,0.238,0.036,#fc9fa3,#fc9fa3,mango,mango
mdg,mango,LY,0.426,0.048,#fff498,#fff498,mango,mango
mdg,mango,MB,0.198,0.033,#7196c0,#7196c0,mango,mango
mdg,mango,MC,0.214,0.035,#65acac,#65acac,mango,mango
mdg,mango,MG,0.532,0.047,#62ae88,#62ae88,mango,mango
mdg,mango,MH,0.443,0.046,#a0b668,#a0b668,mango,mango
mdg,mango,MO,0.216,0.037,#ce916c,#ce916c,mango,mango
mdg,mango,MP,0.159,0.026,#a66fbd,#a66fbd,mango,mango
mdg,mango,MR,0.279,0.04,#c5666b,#c5666b,mango,mango
mdg,mango,MY,0.382,0.044,#dab572,#dab572,mango,mango
mdg,mango,SB,0.203,0.036,#4fa7ef,#4fa7ef,mango,mango
mdg,mango,SC,0.26,0.044,#27d1cd,#27d1cd,mango,mango
