profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__001,languageOther__002,languageOther__003,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
etudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""}]",20240312-1051-51517,mlg,mdg,,fra,eng,,Non,mdg3,25,25,14,37
Etudiente,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1021-54302,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""pêche""}]",20240314-1023-35756,mlg,mdg,,fra,zho,eng,Je ne sais pas,mdg3,19,19,14,37
back office,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240314-1027-37645,mlg,mdg,,fra,,,Je ne sais pas,mdg3,35,35,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":92,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":30,""concept"":""heureux""}]",20240314-1144-33487,mlg,mdg,,fra,,,Je ne sais pas,mdg3,20,20,14,37
ETUDIANTE,fr,color1,11,FEMININ,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-1152-19525,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
ETUDIANT,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":11,""concept"":""sécurité""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":94,""concept"":""tempête de sable""}]",20240314-1239-41266,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LB"",""ans"":100,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""DY"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1241-41507,mlg,mdg,,fra,,,Je ne sais pas,mdg3,30,30,14,37
ETUDIENT,fr,color1,11,HOMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":2,""concept"":""heureux""}]",20240314-1246-10397,mlg,mdg,,fra,,,Je ne sais pas,mdg3,2001,23,14,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""DO"",""ans"":100,""concept"":""arbre""}]",20240314-1323-33569,mlg,mdg,,,,,Non,mgd3,21,21,14,37
ETUDIANT,fr,color1,11,FEMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1327-51200,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
Etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""tempête de sable""}]",20240314-1347-20451,mlg,mdg,,fra,,,Non,mdg3,30,30,14,37
Student ,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""}]",20240314-1350-5071,mlg,mdg,,eng,fra,,Je ne sais pas,mgd3,17,17,14,37
ETUDIANT,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MO"",""ans"":8,""concept"":""tempête de sable""},{""tryOut"":3,""qualifier"":""most"",""color"":""LC"",""ans"":98,""concept"":""peace""}]",20240314-1427-36579,mlg,mdg,,fra,,,Non,mdg3,21,21,14,37
Student ,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""en colère""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""foudre""}]",20240314-1428-470,mlg,mdg,,fra,,,Je ne sais pas,mgd3,17,18,14,37
ETUDIANT,fr,color1,11,FEMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LH"",""ans"":38,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":26,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""}]",20240314-1443-32540,mlg,mdg,,fra,,,Non,mdg3,21,21,14,37
Etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240314-145-54773,mlg,mdg,,fra,,,Je ne sais pas,mdg3,25,25,14,37
etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":99,""concept"":""banane""}]",20240314-1532-35310,mlg,mdg,,fra,,,Non,mgd3,22,22,14,37
musicien,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240314-1639-56552,mlg,mdg,,fra,,,Non,mgd3,38,30,14,37
etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A3"",""ans"":0,""concept"":""foudre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240314-1738-46833,mlg,mdg,,fra,,,Non,mgd3,20,20,7,36
etudiant,fr,color1,11,femmme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""mangue""}]",20240314-749-15499,mlg,mdg,,fra,,,Non,mdg3,22,22,14,37
etudiant,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""en colère""}]",20240316-1044-12316,mlg,mdg,,fra,,,Non,mgd3,23,23,14,37
Student ,fr,color1,11,homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240316-1136-0991,mlg,mdg,,eng,fra,,Non,mgd3,24,24,14,37
etudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mangue""}]",20240316-1210-26425,mlg,mdg,,fra,,,Non,mgd3,20,20,14,37
étudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":77,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""DO"",""ans"":93,""concept"":""arbre""}]",20240318-1019-44417,mlg,mdg,,fra,,,Non,mdg3,18,18,14,37
ETUDIANT,fr,color1,11,MALE,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""heureux""}]",20240318-1035-28133,mlg,mdg,,fra,,,Non,mdg3,18,18,14,37
ETUDIANT,fr,color1,11,MALE,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":100,""concept"":""mort""}]",20240318-1038-24109,mlg,mdg,,fra,,,Non,mdg3,19,19,14,37
etudiante,fr,color1,11,femelle,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240318-1039-20962,mlg,mdg,,fra,,,Non,mgd3,18,18,14,37
étudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":68,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":80,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":96,""concept"":""malade""}]",20240318-1041-239,mlg,mdg,,fra,,,Non,mdg3,22,23,14,37
etudiante ,fr,color1,10,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":90,""concept"":""triste""}]",20240318-1111-40760,mlg,mdg,,fra,,,Non,mdg3,18,18,14,37
ETUDIANT,fr,color1,11,MALE,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":7,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":100,""concept"":""banane""}]",20240318-1111-44174,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
Etudiant,fr,color1,9,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":76,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":51,""concept"":""heureux""}]",20240318-1114-1764,mlg,mdg,,fra,,,Non,mdg3,23,23,14,37
Student ,fr,color1,5,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""MO"",""ans"":100,""concept"":""arbre""}]",20240318-1119-18954,mlg,mdg,,fra,,,Je ne sais pas,mgd3,21,21,14,37
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""foudre""}]",20240318-1129-44261,mlg,mdg,,fra,,,Non,mdg3,23,23,14,37
etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":99,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SC"",""ans"":2,""concept"":""pêche""}]",20240318-1134-47669,mlg,mdg,,fra,,,Non,mdg3,19,19,14,37
ETUDIANT,fr,color1,11,MALE,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":75,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":15,""concept"":""triste""}]",20240318-1146-49211,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
infographiste,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""en colère""}]",20240318-1155-9422,mlg,mdg,,fra,,,Je ne sais pas,mgd3,30,37,14,37
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":24,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240318-118-3727,mlg,mdg,,fra,spa,,Non,mdg3,24,24,14,6
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":30,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""MO"",""ans"":40,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":59,""concept"":""mangue""}]",20240318-1213-2689,mlg,mdg,,fra,,,Non,mdg3,19,19,14,36
etudient,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":19,""concept"":""mort""}]",20240318-128-1978,mlg,mdg,,fra,,,Non,mdg3,20,20,12,2
etudiante,fr,color1,11,Femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MC"",""ans"":40,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":74,""concept"":""arbre""}]",20240318-129-0335,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
etudiante,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":100,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240318-1734-31209,mlg,mdg,,fra,,,Je ne sais pas,mgd3,2006,18,14,37
ETUDIANTE,fr,color1,11,FEMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""A3"",""ans"":100,""concept"":""malade""}]",20240318-945-53744,mlg,mdg,,fra,,,Je ne sais pas,mdg3,19,19,14,37
Etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":4,""concept"":""malade""}]",20240318-947-37960,mlg,mdg,,fra,,,Non,mgd3,18,18,14,37
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":98,""concept"":""triste""}]",20240318-951-14601,fra,mdg,,fra,,,Non,mdg3,20,20,14,37
Etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""}]",20240405-1025-2423,mlg,mdg,,fra,eng,,Non,mdg3,31,31,14,37
étudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":8,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":93,""concept"":""banane""}]",20240405-1028-8261,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
secretaire,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240405-1124-59359,mlg,mdg,,mlg,fra,,Non,mdg3,33,33,14,37
medecin,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""sécurité""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""tempête de sable""}]",20240405-1126-1717,mlg,mdg,,fra,,,Non,mdg3,20,20,14,37
chauffeur,fr,color1,11,masculin,fra,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":17,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240405-113-32460,mlg,mdg,,fra,,,Non,mdg3,3,21,14,37
Etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":4,""concept"":""justice""},{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":1,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""en colère""}]",20240405-1211-22182,mlg,mdg,,fra,,,Non,mdg3,24,24,14,37
Etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":91,""concept"":""triste""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":79,""concept"":""tempête de sable""}]",20240405-124-52195,mlg,mdg,,fra,,,Non,mdg3,19,19,14,37
Etudiant,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":100,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":4,""qualifier"":""least"",""color"":""SG"",""ans"":100,""concept"":""arbre""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240406-142-48821,mlg,mdg,,fra,,,Oui,mdg3,2002,22,14,37
Etudiant,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240406-1433-42932,mlg,mdg,,fra,,,Je ne sais pas,mdg3,2004,20,14,37
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A2"",""ans"":0,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Triste""}]",2024127-756-49442,mlg,mdg,,fra,,,Je ne sais pas,mdg1,20,20,16,37
etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":98,""concept"":""Banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":97,""concept"":""Amour""}]",2024129-1029-53236,mlg,mdg,,fra,eng,,Non,mdg1,24,24,16,37
Student ,fr,color1,11,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""En colère""},{""tryOut"":2,""qualifier"":""least"",""color"":""LC"",""ans"":26,""concept"":""En colère""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":72,""concept"":""Heureux""}]",2024129-123-8118,mlg,mdg,,fra,,,Non,mdg1,20,20,16,37
etudiante,fr,color1,11,feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Carotte""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Mangue""}]",2024129-1923-50678,mlg,mdg,,fra,,,Non,mdg1,27,27,16,37
Etudiante,fr,color1,11,Feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""A1"",""ans"":97,""concept"":""Ouragan""}]",2024129-914-4781,mlg,mdg,,fra,eng,ger,Non,mdg1,5,31,16,37
étudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":75,""concept"":""Mangue""},{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":100,""concept"":""Mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Paix""}]",2024210-1521-9953,mlg,mdg,,fra,,,Je ne sais pas,mdg2,25,25,16,37
etudiant,fr,color1,10,male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":95,""concept"":""Sécheresse""}]",2024211-1015-20174,mlg,mdg,,fra,eng,,Je ne sais pas,mdg2,17,17,16,37
etudiante,fr,color1,11,feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""MG"",""ans"":100,""concept"":""Mort""}]",2024212-1032-45194,mlg,mdg,,fra,,,Non,mdg2,23,23,16,37
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":1,""concept"":""Amour""},{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Mangue""}]",2024212-1144-17748,fra,mdg,,eng,,,Non,mdg2,24,24,16,37
étudiante,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""Arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Heureux""}]",202428-112-13121,mlg,mdg,,fra,,,Non,mdg2,30,30,16,37
Etudient,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""En bonne santé""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Amour""}]",202428-112-20165,mlg,mdg,,fra,,,Je ne sais pas,mdg2,24,24,16,37
Etudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""En bonne santé""}]",202428-1212-0433,mlg,mdg,,fra,,,Non,mdg2,25,25,16,37
Etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":69,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":80,""concept"":""Amour""}]",202428-1220-5427,mlg,mdg,,fra,,,Non,mdg2,25,25,16,37
Etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Malade""}]",202428-1310-23247,mlg,mdg,,fra,,,Non,mdg2,24,24,16,37
Student ,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Mort""}]",202428-138-0931,mlg,mdg,,fra,,,Je ne sais pas,mdg2,23,23,16,37