profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,languageOther2,languageOther3,colorblind,countryResLen,age,progressBlock,progressColor,expCountry
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A2"",""ans"":0,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Triste""}]",2024127-756-49442,mlg,mdg,fra,,,Je ne sais pas,20,20,16,37,mdg1
etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":98,""concept"":""Banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":97,""concept"":""Amour""}]",2024129-1029-53236,mlg,mdg,fra,eng,,Non,24,24,16,37,mdg1
Student ,fr,color1,11,Male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""En colère""},{""tryOut"":2,""qualifier"":""least"",""color"":""LC"",""ans"":26,""concept"":""En colère""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":72,""concept"":""Heureux""}]",2024129-123-8118,mlg,mdg,fra,,,Non,20,20,16,37,mdg1
etudiante,fr,color1,11,feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Carotte""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Mangue""}]",2024129-1923-50678,mlg,mdg,fra,,,Non,27,27,16,37,mdg1
Etudiante,fr,color1,11,Feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""A1"",""ans"":97,""concept"":""Ouragan""}]",2024129-914-4781,mlg,mdg,fra,eng,ger,Non,5,31,16,37,mdg1
étudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":75,""concept"":""Mangue""},{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":100,""concept"":""Mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Paix""}]",2024210-1521-9953,mlg,mdg,fra,,,Je ne sais pas,25,25,16,37,mdg2
etudiant,fr,color1,10,Male,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":95,""concept"":""Sécheresse""}]",2024211-1015-20174,mlg,mdg,fra,eng,,Je ne sais pas,17,17,16,37,mdg2
etudiante,fr,color1,11,feminin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""MG"",""ans"":100,""concept"":""Mort""}]",2024212-1032-45194,mlg,mdg,fra,,,Non,23,23,16,37,mdg2
etudiant,fr,color1,11,masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":1,""concept"":""Amour""},{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Mangue""}]",2024212-1144-17748,fra,mdg,eng,,,Non,24,24,16,37,mdg2
étudiante,fr,color1,11,femme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""Arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Heureux""}]",202428-112-13121,mlg,mdg,fra,,,Non,30,30,16,37,mdg2
Etudient,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""En bonne santé""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Amour""}]",202428-112-20165,mlg,mdg,fra,,,Je ne sais pas,24,24,16,37,mdg2
Etudiant,fr,color1,11,homme,mdg,,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""En bonne santé""}]",202428-1212-0433,mlg,mdg,fra,,,Non,25,25,16,37,mdg2
Etudiant,fr,color1,11,Homme,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":69,""concept"":""Heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":80,""concept"":""Amour""}]",202428-1220-5427,mlg,mdg,fra,,,Non,25,25,16,37,mdg2
Etudiant,fr,color1,11,Masculin,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Malade""}]",202428-1310-23247,mlg,mdg,fra,,,Non,24,24,16,37,mdg2
Student ,fr,color1,11,MASCULIN,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Amour""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Mort""}]",202428-138-0931,mlg,mdg,fra,,,Je ne sais pas,23,23,16,37,mdg2