profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__-,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
ETUDIANT,en,color1,11,HOMME,mdg,,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""banane""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":100,""concept"":""heureux""}]",20240314-1147-26193,mlg,mdg,,fra,Non,,25,25,14,37
writer,en,color1,11,male,usa,5f5eb22e58c9fb7782a6e90c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""angry""}]",20240418-1013-25634,eng,usa,,,No,usa3,57,57,14,32
dental hygienist ,en,color1,11,female ,usa,65edddac674b5980782246d4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""}]",20240418-1014-56996,eng,usa,,,No,usa3,41,41,3,37
Health specialist ,en,color1,11,male,usa,656b46a0554ca892e2d3f1e9,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":82,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":26,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DY"",""ans"":78,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DO"",""ans"":80,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""mango""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1030-21272,eng,usa,,eng,No,usa3,47,49,3,8
Content Management,en,color1,11,female,usa,5ef981cf234db67251c1e0d7,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240418-1113-18952,eng,usa,,,No,usa3,31,33,3,37
Computer Programmer,en,color1,11,male,usa,639e0331bc3cc615f5a3dd89,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""lightning""}]",20240418-1115-3136,eng,usa,,eng,No,usa3,57,57,9,36
Communications Manager at Nonprofit ,en,color1,11,female,usa,60fe090e38f969ce1f8ee8a4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":96,""concept"":""happy""}]",20240418-1118-25366,eng,usa,,,No,usa3,31,36,14,37
Program manager ,en,color1,11,female,usa,612d227e68d8bf942e6091da,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":90,""concept"":""death""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":12,""concept"":""death""},{""tryOut"":3,""qualifier"":""most"",""color"":""MY"",""ans"":79,""concept"":""sick""}]",20240418-1123-42512,eng,usa,,ger,No,usa3,20,32,14,37
Technical Support,en,color1,11,male,usa,5b32c63da8327d0001002779,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":57,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":77,""concept"":""safety""},{""tryOut"":4,""qualifier"":""least"",""color"":""SO"",""ans"":89,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":87,""concept"":""justice""},{""tryOut"":6,""qualifier"":""least"",""color"":""LO"",""ans"":100,""concept"":""sandstorm""},{""tryOut"":7,""qualifier"":""most"",""color"":""SR"",""ans"":89,""concept"":""angry""},{""tryOut"":8,""qualifier"":""least"",""color"":""LO"",""ans"":84,""concept"":""peach""},{""tryOut"":9,""qualifier"":""most"",""color"":""BK"",""ans"":96,""concept"":""death""},{""tryOut"":10,""qualifier"":""least"",""color"":""LC"",""ans"":66,""concept"":""peace""},{""tryOut"":11,""qualifier"":""most"",""color"":""SO"",""ans"":87,""concept"":""mango""},{""tryOut"":12,""qualifier"":""least"",""color"":""A1"",""ans"":87,""concept"":""sad""},{""tryOut"":13,""qualifier"":""most"",""color"":""DG"",""ans"":76,""concept"":""tree""},{""tryOut"":14,""qualifier"":""least"",""color"":""SY"",""ans"":96,""concept"":""banana""},{""tryOut"":15,""qualifier"":""most"",""color"":""SG"",""ans"":78,""concept"":""sick""}]",20240418-1127-057,eng,usa,,,No,usa3,47,47,13,12
Sales,en,color1,11,F,usa,60706b67613f243aabd7f7bf,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""LY"",""ans"":83,""concept"":""mango""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""},{""tryOut"":6,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""safety""},{""tryOut"":7,""qualifier"":""most"",""color"":""LB"",""ans"":100,""concept"":""peace""},{""tryOut"":8,""qualifier"":""least"",""color"":""SG"",""ans"":4,""concept"":""lightning""},{""tryOut"":9,""qualifier"":""most"",""color"":""SG"",""ans"":89,""concept"":""sick""},{""tryOut"":10,""qualifier"":""least"",""color"":""DR"",""ans"":94,""concept"":""angry""},{""tryOut"":11,""qualifier"":""most"",""color"":""DB"",""ans"":89,""concept"":""sad""},{""tryOut"":12,""qualifier"":""least"",""color"":""DP"",""ans"":7,""concept"":""sandstorm""},{""tryOut"":13,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":14,""qualifier"":""least"",""color"":""SO"",""ans"":4,""concept"":""death""},{""tryOut"":15,""qualifier"":""most"",""color"":""DG"",""ans"":83,""concept"":""tree""}]",20240418-1148-42353,eng,usa,,spa,No,usa3,39,39,5,28
Chatbot Trainer,en,color1,11,Woman,usa,5e2f4ab6fb987e078bf5f68e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1212-31232,eng,usa,,eng,No,usa3,51,51,14,37
Healthcare Support,en,color1,11,female,usa,5c76ed4a909522000114e278,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""death""}]",20240418-1218-38544,eng,usa,,,No,usa3,29,29,14,32
student,en,color1,11,female,usa,5fd5381b5807b616d910c586,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":88,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":88,""concept"":""justice""}]",20240418-1227-32792,eng,usa,,,No,usa3,24,26,14,37
self employeed ,en,color1,10,female,usa,64721b8657ab72945a1fc401,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":31,""concept"":""peach""},{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":100,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SP"",""ans"":100,""concept"":""safety""}]",20240418-1232-56378,eng,usa,,eng,No,usa3,51,51,4,19
self-employed,en,color1,11,female,usa,656bb9267df44f2c87420776,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":1,""concept"":""sick""},{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":4,""concept"":""sick""},{""tryOut"":2,""qualifier"":""least"",""color"":""MB"",""ans"":0,""concept"":""sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1242-15645,eng,usa,,,No,usa3,29,29,14,37
Student,en,color1,11,male,usa,5b0b77a9d282ff00015b7531,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":96,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""}]",20240418-1257-51337,eng,usa,,,No,usa3,23,23,14,37
Unemployed,en,color1,11,female,usa,63617d0513b0cf392fd67e3e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":95,""concept"":""tree""}]",20240418-129-17943,eng,usa,,,No,usa3,40,40,14,37
Student ,en,color1,11,female,usa,660e18443c4e4bf92a2b2af6,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":84,""concept"":""justice""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""death""}]",20240418-1310-2594,eng,usa,,eng,No,usa3,24,24,13,37
Retired Elementary Principal,en,color1,11,male,usa,657f1c242da897d8e688081e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":92,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":1,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""safety""},{""tryOut"":2,""qualifier"":""least"",""color"":""MR"",""ans"":0,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":96,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""LC"",""ans"":2,""concept"":""lightning""}]",20240418-1320-56249,eng,usa,,eng,No,usa3,61,61,14,37
tutor,en,color1,11,female,usa,657907698463fd17efdc81b7,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":9,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":99,""concept"":""sandstorm""}]",20240418-1327-48492,eng,usa,,,No,usa3,55,55,7,11
Analyst,en,color1,11,female,usa,65616aacbcfffd5c576627f0,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":0,""concept"":""death""},{""tryOut"":4,""qualifier"":""least"",""color"":""SR"",""ans"":80,""concept"":""angry""}]",20240418-1330-0691,eng,usa,,,No,usa3,47,47,6,35
None,en,color1,11,female,usa,654580dcf53f11ae40ade9fd,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":81,""concept"":""peace""}]",20240418-1334-37242,eng,usa,,,No,usa3,57,57,10,22
stay home.,en,color1,11,female,usa,64d507d3280007709d2e2e65,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LB"",""ans"":30,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":95,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SP"",""ans"":89,""concept"":""sick""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":92,""concept"":""banana""}]",20240418-138-4451,eng,usa,,,No,usa3,48,48,14,37
Nurse Manager,en,color1,11,Woman,usa,5b824fb6cc06660001a302d4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":97,""concept"":""safety""}]",20240418-138-45470,eng,usa,,eng,No,usa3,53,53,14,37
n/a,en,color1,11,male,usa,6155d14afd03ebfe3f9c7303,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1721-8982,eng,usa,,,No,usa3,21,22,14,37
Software developer,en,color1,11,male,usa,614016b99ef934f87c7ee4da,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":3,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":97,""concept"":""peach""}]",20240418-946-45877,eng,usa,,,No,usa3,39,39,14,37
Customer Service,en,color1,11,non-binary,usa,59a3d5439b845f0001ec1f25,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Happy""},{""tryOut"":2,""qualifier"":""least"",""color"":""MB"",""ans"":0,""concept"":""Happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Lightning""},{""tryOut"":4,""qualifier"":""least"",""color"":""MC"",""ans"":0,""concept"":""Mango""}]",2024127-1245-26929,eng,usa,,,No,usa1,30,30,16,37
Recruiter,en,color1,11,female,usa,61036bbd791964fafe65236a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DB"",""ans"":100,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""Sad""},{""tryOut"":2,""qualifier"":""least"",""color"":""LY"",""ans"":0,""concept"":""Sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""}]",2024127-1245-7801,eng,usa,,eng,No,usa1,22,22,16,37
Photographer,en,color1,11,male,usa,632f7bec7eb646908138c15c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":82,""concept"":""Lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""A1"",""ans"":88,""concept"":""Hurricane""},{""tryOut"":4,""qualifier"":""least"",""color"":""MO"",""ans"":72,""concept"":""Sandstorm""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":84,""concept"":""Mango""},{""tryOut"":6,""qualifier"":""least"",""color"":""A2"",""ans"":92,""concept"":""Sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""SO"",""ans"":71,""concept"":""Sad""},{""tryOut"":7,""qualifier"":""most"",""color"":""SY"",""ans"":93,""concept"":""Safety""},{""tryOut"":8,""qualifier"":""least"",""color"":""SR"",""ans"":98,""concept"":""Love""},{""tryOut"":8,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Love""}]",2024127-1250-7198,eng,usa,,,No,usa1,44,44,16,37
Medical Assistant ,en,color1,11,female,usa,60fdef62c67aaae4bf110ed5,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Mango""},{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""Mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":100,""concept"":""Sad""}]",2024127-1343-18748,eng,usa,,,No,usa1,29,29,16,37
graduate assistant,en,color1,11,female,usa,61006b0f1f3bfddb6b4c5d55,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Happy""}]",2024127-1343-2378,eng,usa,,eng,No,usa1,32,32,16,37
Unemployed ,en,color1,11,female,usa,611426ee0ba8afe2dd686c6e,"[{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":78,""concept"":""Banana""}]",202428-1134-59748,eng,usa,,,I don't know,usa2,24,24,16,37
Bookkeeper,en,color1,11,female,usa,60fd16fa5143ab9c95b7b861,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""Spices""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":100,""concept"":""Spices""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""SH"",""ans"":0,""concept"":""Angry""}]",202428-1135-2657,eng,usa,,,No,usa2,21,21,16,37
Marketing Coordinator,en,color1,11,female,usa,652d603ca584c101cee4ca84,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":9,""concept"":""Tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""Death""}]",202428-1136-0404,eng,usa,,,No,usa2,22,22,1,37
Chiropractic assistant,en,color1,11,female,usa,60fce82dcee3e00efd24aa4c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":0,""concept"":""Angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""A2"",""ans"":86,""concept"":""Sick""}]",202428-1235-9360,eng,usa,,,No,usa2,31,31,5,3
retired,en,color1,11,female,usa,5b566435d8348500012d2d65,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A3"",""ans"":95,""concept"":""Peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":92,""concept"":""Drought""},{""tryOut"":4,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Angry""}]",202428-1249-19810,eng,usa,,,No,usa2,71,71,16,37
homemaker,en,color1,11,female,usa,61464fe94ab78bd0f17d0dc0,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":1,""concept"":""Drought""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":99,""concept"":""Love""}]",202428-1338-8147,eng,usa,,,No,usa2,31,31,16,37
Homemaker,en,color1,11,female,usa,6519b6951e9a19f4b3d6f545,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":1,""concept"":""Sick""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":99,""concept"":""Healthy""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":91,""concept"":""Death""},{""tryOut"":4,""qualifier"":""least"",""color"":""LG"",""ans"":0,""concept"":""Death""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":100,""concept"":""Sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""MP"",""ans"":1,""concept"":""Angry""},{""tryOut"":7,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""Tree""},{""tryOut"":8,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Banana""},{""tryOut"":9,""qualifier"":""most"",""color"":""LB"",""ans"":100,""concept"":""Peace""},{""tryOut"":10,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Mango""},{""tryOut"":11,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""Life""},{""tryOut"":12,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""Drought""},{""tryOut"":13,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""Peach""},{""tryOut"":14,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""Justice""},{""tryOut"":15,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Happy""},{""tryOut"":16,""qualifier"":""least"",""color"":""DY"",""ans"":0,""concept"":""Spices""},{""tryOut"":17,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Love""}]",202428-1342-48702,eng,usa,,,No,usa2,31,31,16,37
nurse,en,color1,11,female,usa,612fc0fdd3a66968a7e1f6e6,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""Peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Peach""}]",202428-1348-57385,eng,usa,,,No,usa2,26,26,16,37
Manager,en,color1,11,male,usa,653bbf7e04cc8d9994f1f252,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""Spices""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Spices""},{""tryOut"":2,""qualifier"":""least"",""color"":""DR"",""ans"":100,""concept"":""Spices""},{""tryOut"":3,""qualifier"":""most"",""color"":""A3"",""ans"":72,""concept"":""Justice""},{""tryOut"":4,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""Banana""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""Mango""},{""tryOut"":6,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""Death""},{""tryOut"":7,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""Peace""}]",202428-1430-1392,eng,usa,,eng,No,usa2,48,48,16,37
Tax collector,en,color1,11,female,usa,5bcd41904f22df00010f5a84,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""Love""}]",202428-1431-44274,eng,usa,,,No,usa2,46,46,16,37
Heavy Equipment Operator,en,color1,11,female,usa,6116a9328aa24edfe840f20c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Love""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""Tree""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Death""},{""tryOut"":5,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""Peach""},{""tryOut"":6,""qualifier"":""least"",""color"":""A1"",""ans"":100,""concept"":""Drought""},{""tryOut"":7,""qualifier"":""most"",""color"":""LR"",""ans"":87,""concept"":""Healthy""},{""tryOut"":8,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Angry""},{""tryOut"":9,""qualifier"":""most"",""color"":""DG"",""ans"":69,""concept"":""Spices""},{""tryOut"":10,""qualifier"":""least"",""color"":""LY"",""ans"":87,""concept"":""Peace""},{""tryOut"":11,""qualifier"":""most"",""color"":""LY"",""ans"":100,""concept"":""Banana""},{""tryOut"":12,""qualifier"":""least"",""color"":""DH"",""ans"":100,""concept"":""Sick""},{""tryOut"":13,""qualifier"":""most"",""color"":""SR"",""ans"":65,""concept"":""Life""},{""tryOut"":14,""qualifier"":""least"",""color"":""BK"",""ans"":60,""concept"":""Justice""},{""tryOut"":15,""qualifier"":""most"",""color"":""DB"",""ans"":100,""concept"":""Sad""},{""tryOut"":16,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""Happy""},{""tryOut"":17,""qualifier"":""most"",""color"":""SO"",""ans"":100,""concept"":""Mango""}]",202428-1435-56216,eng,usa,,,No,usa2,45,45,2,28
teacher,en,color1,11,female,usa,5e9735d88bad0e05931cb2af,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DG"",""ans"":0,""concept"":""Love""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""Peach""}]",202428-1445-21290,eng,usa,,spa,No,usa2,31,33,12,7
IRB manager,en,color1,11,female,usa,5cadf2fa7e99a900171c4705,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""Love""},{""tryOut"":3,""qualifier"":""most"",""color"":""DR"",""ans"":100,""concept"":""Angry""},{""tryOut"":4,""qualifier"":""least"",""color"":""LB"",""ans"":0,""concept"":""Peace""},{""tryOut"":5,""qualifier"":""most"",""color"":""A1"",""ans"":100,""concept"":""Sad""}]",202428-1450-42844,eng,usa,,,No,usa2,44,44,16,37
retired,en,color1,11,female,usa,650d9650bb81532e8e16d578,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""Life""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""Tree""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":100,""concept"":""Peace""}]",202428-1515-40679,eng,usa,,,No,usa2,69,69,16,37