profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther1,languageOther2,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
Hospitality,en,color1,11,Female,usa,65032d1ac8801905f2293c78,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":1,""concept"":""banana""},{""tryOut"":6,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""sad""}]",20240418-1639-26223,eng,usa,NA,NA,No,usa3,22,22,14,37
door refinisher/ SB owner,en,color1,11,male,usa,6619cc7731672fbceb9f3dcd,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""peach""}]",20240418-1649-31727,eng,usa,rus,NA,No,usa3,36,36,14,37
Student,en,color1,11,Female,usa,613aae01418631a348412546,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240418-1751-45340,eng,usa,spa,NA,No,usa3,21,21,14,37
Self-Employed,en,color1,11,Male,usa,5e69794aad1e74220f93329a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""angry""},{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":0,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":100,""concept"":""peach""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""death""}]",20240418-1855-7542,eng,usa,NA,NA,No,usa3,49,49,14,37
eLearning Instructional Designer,en,color1,11,Female,usa,66042adf25015459d5c00343,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":100,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""DR"",""ans"":100,""concept"":""angry""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":1,""concept"":""sick""},{""tryOut"":5,""qualifier"":""most"",""color"":""MO"",""ans"":100,""concept"":""sandstorm""}]",20240418-1943-16230,eng,usa,eng,NA,No,usa3,50,52,14,37
managerial secretariat,en,color1,11,male,usa,5b6bf0237f92050001a51d89,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240418-1946-32540,eng,usa,NA,NA,I don't know,usa3,35,35,14,37
Disabled,en,color1,11,Female,usa,6618b5800be90e3b4abbc70d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SB"",""ans"":100,""concept"":""lightning""}]",20240418-207-46818,eng,usa,NA,NA,No,usa3,54,54,14,37
Pollster,en,color1,11,female,usa,586372cae16d530001b345b8,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DO"",""ans"":100,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""A3"",""ans"":2,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""peace""}]",20240419-1135-8384,eng,usa,eng,NA,No,usa3,67,67,14,37
Field Service,en,color1,11,m,usa,65aeb35d7f4e3c2fd1959989,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""DG"",""ans"":100,""concept"":""tree""}]",20240419-1141-16629,eng,usa,NA,NA,No,usa3,54,54,14,37
Office Administrator,en,color1,11,Female,usa,63cfff59a184313f875f6a06,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""death""}]",20240419-1210-13767,eng,usa,NA,NA,No,usa3,26,26,14,37
Data analyst/tester,en,color1,11,male,usa,5f6f44e9451a3b0836b5d32c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":2,""concept"":""tree""}]",20240419-1213-27581,eng,usa,NA,NA,No,usa3,48,48,14,37
Student,en,color1,11,Female,usa,65dc2498d0f1a4b184ad9c12,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":5,""qualifier"":""most"",""color"":""SP"",""ans"":100,""concept"":""mango""}]",20240419-123-98,eng,usa,NA,NA,No,usa3,24,24,14,37
teacher,en,color1,11,female,usa,60fcc14e0c05e2eb27be56a1,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""lightning""},{""tryOut"":2,""qualifier"":""least"",""color"":""LR"",""ans"":0,""concept"":""lightning""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":8,""concept"":""lightning""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":99,""concept"":""justice""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":49,""concept"":""happy""},{""tryOut"":4,""qualifier"":""least"",""color"":""SR"",""ans"":0,""concept"":""happy""}]",20240419-124-50270,eng,usa,NA,NA,No,usa3,29,30,14,37
law student,en,color1,11,female,usa,65c38ec94154d72ddeda93ed,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1246-5643,eng,usa,NA,NA,No,usa3,23,23,14,37
Programmer,en,color1,11,Male,usa,5c79608452e62f00169b1fe6,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""peace""}]",20240419-1254-33156,eng,usa,eng,NA,No,usa3,51,51,14,37
Student,en,color1,11,Female,usa,65cb809330a9a1fb78d7435b,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":100,""concept"":""sick""}]",20240419-130-39851,eng,usa,NA,NA,No,usa3,18,18,14,37
Secretary,en,color1,11,Female,usa,60edac884fef13c0b0660daf,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""sad""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":0,""concept"":""mango""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""angry""}]",20240419-130-4642,eng,usa,eng,NA,No,usa3,39,39,14,37
retired,en,color1,11,female,usa,63b4dd8e84ed3fa65db72f4d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":96,""concept"":""death""}]",20240419-1312-16439,eng,usa,eng,NA,No,usa3,-67,67,14,37
Gatehouse Attendant,en,color1,11,female,usa,60c4e59f7d316239aa92f87d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""death""}]",20240419-134-1181,eng,usa,NA,NA,No,usa3,65,65,14,37
Student,en,color1,11,Female,usa,60b2eb47f246e88dfc7df60a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LP"",""ans"":4,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""DB"",""ans"":87,""concept"":""justice""}]",20240419-954-51986,eng,usa,NA,NA,No,usa3,31,31,14,37
homemaker,en,color1,11,female,usa,653fd42ade361272b8f82118,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""death""}]",20240419-1635-27396,eng,usa,NA,NA,No,usa3,40,41,14,37
Writer,en,color1,11,Male,usa,5c6d93a0066f6b0001556bb2,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":17,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1648-48760,eng,usa,NA,NA,No,usa3,45,45,2,10
Entrepreneur,en,color1,11,Male,usa,632c0075227e9b734c80424d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1648-54212,eng,usa,NA,NA,No,usa3,38,38,14,37
manager,en,color1,11,female,usa,56fb36ca34a0d3000b1a5701,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A2"",""ans"":3,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""LP"",""ans"":97,""concept"":""peace""},{""tryOut"":4,""qualifier"":""least"",""color"":""A1"",""ans"":4,""concept"":""happy""},{""tryOut"":5,""qualifier"":""most"",""color"":""DB"",""ans"":98,""concept"":""sad""},{""tryOut"":6,""qualifier"":""least"",""color"":""DP"",""ans"":3,""concept"":""lightning""},{""tryOut"":7,""qualifier"":""most"",""color"":""BK"",""ans"":98,""concept"":""death""},{""tryOut"":8,""qualifier"":""least"",""color"":""LP"",""ans"":4,""concept"":""angry""}]",20240419-1651-32482,eng,usa,NA,NA,No,usa3,53,53,14,37
Dental Assistant,en,color1,11,Female,usa,6352e6fd0bd9f5f560e1d60e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""DR"",""ans"":100,""concept"":""peace""}]",20240419-1745-34773,eng,usa,fra,NA,No,usa3,26,26,1,24
registrar,en,color1,11,female,usa,610d18cc7bc56684fd024a62,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DR"",""ans"":0,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""DR"",""ans"":5,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""LR"",""ans"":99,""concept"":""peach""}]",20240419-1826-19156,eng,usa,NA,NA,No,usa3,35,35,14,37
Administration,en,color1,11,Female,usa,65c10f267b368ee1ed772eb5,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":100,""concept"":""peach""},{""tryOut"":4,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""angry""}]",20240419-1830-16601,eng,usa,eng,NA,No,usa3,29,29,14,37
IT Support,en,color1,11,Male,usa,64148386b15c3ddfef1fcd69,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MY"",""ans"":1,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""LY"",""ans"":100,""concept"":""peach""}]",20240419-1841-49159,eng,usa,NA,NA,No,usa3,39,39,14,37
Delivery Truck Driver,en,color1,11,male,usa,5e2d3e464b8a1a33ef37b241,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peach""},{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":0,""concept"":""peach""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1841-54552,eng,usa,NA,NA,No,usa3,49,49,14,37
Graphic Designer,en,color1,11,Female,usa,6025aeaea2c27e19e096f29d,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""MC"",""ans"":85,""concept"":""safety""}]",20240419-1858-22632,eng,usa,NA,NA,No,usa3,40,40,14,37
photographer,en,color1,11,female,usa,64123e577ccc2422448a155a,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""peace""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":3,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-1934-58927,eng,usa,NA,NA,No,usa3,54,54,14,37
Clerk,en,color1,11,Female,usa,5a6e69faab58b500015f6b59,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""angry""}]",20240419-1944-766,eng,usa,NA,NA,No,usa3,29,29,14,37
Student,en,color1,11,Female,usa,645a6d7feec0c7415d240d95,"[{""tryOut"":2,""qualifier"":""least"",""color"":""LO"",""ans"":83,""concept"":""sandstorm""},{""tryOut"":3,""qualifier"":""most"",""color"":""LB"",""ans"":95,""concept"":""sad""}]",20240419-1946-16921,eng,usa,NA,NA,No,usa3,19,19,1,28
Senior Software Engineer,en,color1,11,male,usa,6554d46d51c7f11955e666a3,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DB"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":94,""concept"":""angry""}]",20240419-1949-20496,eng,usa,NA,NA,No,usa3,43,43,14,37
graphic designer,en,color1,11,female,usa,5c4f6da82090bd0001c43548,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A2"",""ans"":2,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":98,""concept"":""justice""}]",20240419-201-34576,eng,usa,eng,jpn,No,usa3,43,43,14,37
merchandiser,en,color1,11,female,usa,64f22ad418d6bb613bca00e4,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SO"",""ans"":91,""concept"":""safety""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":86,""concept"":""lightning""},{""tryOut"":4,""qualifier"":""least"",""color"":""SO"",""ans"":71,""concept"":""sandstorm""},{""tryOut"":5,""qualifier"":""most"",""color"":""A1"",""ans"":12,""concept"":""mango""}]",20240419-204-27746,eng,usa,NA,NA,No,usa3,38,38,1,3
Sales Agent,en,color1,11,Female,usa,64023a98627b1116180dff0b,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SC"",""ans"":0,""concept"":""mango""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""mango""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240419-217-31648,eng,usa,NA,NA,No,usa3,29,29,14,37
Escrow Assistant,en,color1,11,Female,usa,6525a6d2c46968e706f1771c,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MG"",""ans"":0,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""lightning""}]",20240421-1226-43548,eng,usa,NA,NA,No,usa3,34,34,14,37
Artist,en,color1,11,Male,usa,5c84ed7d4b0de20019350e1e,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":1,""concept"":""banana""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":86,""concept"":""sick""}]",20240421-1421-47590,eng,usa,NA,NA,No,usa3,32,32,14,37
Early Childhood Educator,en,color1,11,Female,usa,60fdafda7d4826f048e869e9,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":0,""concept"":""angry""},{""tryOut"":3,""qualifier"":""most"",""color"":""MY"",""ans"":100,""concept"":""sandstorm""}]",20240421-1422-3315,eng,usa,NA,NA,No,usa3,21,21,14,37
Engineer,en,color1,11,Female,usa,5cc9e61b7f76370017cfd5c7,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":13,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":15,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":5,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""A3"",""ans"":0,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SC"",""ans"":0,""concept"":""peach""}]",20240421-1523-30232,eng,usa,NA,NA,No,usa3,34,34,1,9
Manager,en,color1,11,Female,usa,62915d892e4b777ec8f1eac9,"[{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":0,""concept"":""tree""},{""tryOut"":2,""qualifier"":""least"",""color"":""A1"",""ans"":11,""concept"":""tree""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banana""}]",20240421-1523-7266,eng,usa,NA,NA,No,usa3,36,42,14,37
Delivery Driver,en,color1,11,Female,usa,61095d528d0b97a520a20bd7,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""happy""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":76,""concept"":""sick""}]",20240421-1530-3921,eng,usa,ice,NA,No,usa3,40,40,14,37
